coverage,set_size,worst_class_cov,ssc,empty_rate,seed,severity,method,cost_ms
0.9266666666666666,1.4925,0.9033333333333333,0.0,0.056666666666666664,2,0.4,Classwise CP,0.37730000622104853
0.905,1.4041666666666666,0.89,0.0,0.0675,2,0.4,ACI,9.907900006510317
0.6958333333333333,1.8016666666666667,0.0033333333333333335,0.0,0.03333333333333333,2,0.6,Split CP,0.1142999972216785
0.695,1.7958333333333334,0.0033333333333333335,0.0,0.034166666666666665,2,0.6,Weighted CP,0.08990000060293823
0.6791666666666667,1.8558333333333332,0.01,0.0,0.028333333333333332,2,0.6,Classwise CP,0.3453999961493537
0.9033333333333333,2.0383333333333336,0.87,0.0,0.023333333333333334,2,0.6,ACI,11.590800000703894
0.2758333333333333,1.4016666666666666,0.0,0.0,0.03833333333333333,2,0.8,Split CP,0.16999999934341758
0.2758333333333333,1.4016666666666666,0.0,0.0,0.03833333333333333,2,0.8,Weighted CP,0.08089999028015882
0.2966666666666667,1.4575,0.0,0.0,0.03166666666666667,2,0.8,Classwise CP,0.6518000009236857
0.8958333333333334,2.55,0.8533333333333334,0.8489425981873112,0.015833333333333335,2,0.8,ACI,11.283599989837967
0.20916666666666667,0.895,0.0,0.0,0.1125,2,1.0,Split CP,0.12830000196117908
0.20916666666666667,0.8958333333333334,0.0,0.0,0.11166666666666666,2,1.0,Weighted CP,0.10049999400507659
0.21416666666666667,0.9166666666666666,0.0,0.0,0.095,2,1.0,Classwise CP,0.375300005543977
0.655,2.0475,0.013333333333333334,0.5784543325526932,0.0125,2,1.0,ACI,13.218599997344427
0.9275,0.9366666666666666,0.91,0.0,0.0725,3,0.0,Split CP,0.1444000081392005
0.9275,0.9366666666666666,0.91,0.0,0.0725,3,0.0,Weighted CP,0.06900000153109431
0.93,0.9441666666666667,0.9133333333333333,0.0,0.07,3,0.0,Classwise CP,0.8934000070439652
0.9008333333333334,0.9066666666666666,0.89,0.0,0.09916666666666667,3,0.0,ACI,10.90019999537617
0.8775,1.1283333333333334,0.7433333333333333,0.0,0.058333333333333334,3,0.2,Split CP,0.19029999384656549
0.8875,1.1408333333333334,0.77,0.0,0.055,3,0.2,Weighted CP,0.13100000796839595
0.8208333333333333,1.1025,0.48,0.0,0.049166666666666664,3,0.2,Classwise CP,0.298700004350394
0.9,1.2058333333333333,0.8933333333333333,0.0,0.07333333333333333,3,0.2,ACI,11.287000001175329
0.6841666666666667,0.9291666666666667,0.0,0.0,0.07916666666666666,3,0.4,Split CP,0.09669999417383224
0.6933333333333334,0.9433333333333334,0.0,0.0,0.06833333333333333,3,0.4,Weighted CP,0.08520000847056508
0.7033333333333334,0.9491666666666667,0.0,0.0,0.058333333333333334,3,0.4,Classwise CP,0.31659999513067305
0.76,1.8891666666666667,0.04,0.6502463054187192,0.0,3,0.4,ACI,12.550800005556084
0.7133333333333334,1.5083333333333333,0.0,0.0,0.030833333333333334,3,0.6,Split CP,0.09500001033302397
0.7183333333333334,1.5425,0.0,0.0,0.02666666666666667,3,0.6,Weighted CP,0.08529999468009919
0.7216666666666667,1.5933333333333333,0.0,0.0,0.024166666666666666,3,0.6,Classwise CP,0.3352000057930127
0.7958333333333333,2.2958333333333334,0.18333333333333332,0.5874125874125874,0.0,3,0.6,ACI,9.429500001715496
0.4725,1.3141666666666667,0.0,0.0,0.0275,3,0.8,Split CP,0.09529999806545675
0.4766666666666667,1.3666666666666667,0.0,0.0,0.023333333333333334,3,0.8,Weighted CP,0.09020000288728625
0.47833333333333333,1.4116666666666666,0.0,0.0,0.020833333333333332,3,0.8,Classwise CP,0.31859999580774456
0.6683333333333333,2.1975,0.31,0.4926829268292683,0.0,3,0.8,ACI,12.527500002761371
0.48,1.39,0.0,0.0,0.019166666666666665,3,1.0,Split CP,0.1201999984914437
0.48333333333333334,1.4241666666666666,0.0,0.0,0.015833333333333335,3,1.0,Weighted CP,0.0881000014487654
0.48583333333333334,1.4641666666666666,0.0,0.0,0.013333333333333334,3,1.0,Classwise CP,0.47470000572502613
0.5,1.8483333333333334,0.0,0.43320235756385067,0.0,3,1.0,ACI,10.470499997609295
0.9075,0.9133333333333333,0.8866666666666667,0.0,0.0925,4,0.0,Split CP,0.09969998791348189
0.9066666666666666,0.9125,0.8866666666666667,0.0,0.09333333333333334,4,0.0,Weighted CP,0.08849998994264752
0.9108333333333334,0.9191666666666667,0.89,0.0,0.08916666666666667,4,0.0,Classwise CP,0.3391999925952405
0.9008333333333334,0.9066666666666666,0.8933333333333333,0.0,0.09916666666666667,4,0.0,ACI,11.09569999971427
0.8716666666666667,1.12,0.7866666666666666,0.0,0.075,4,0.2,Split CP,0.1303000026382506
0.85,1.0983333333333334,0.7366666666666667,0.0,0.08416666666666667,4,0.2,Weighted CP,0.11140000424347818
0.895,1.1433333333333333,0.8666666666666667,0.0,0.0775,4,0.2,Classwise CP,0.34020000020973384
0.8983333333333333,1.165,0.8933333333333333,0.0,0.07583333333333334,4,0.2,ACI,11.882899998454377
